source,title,company,location,url
Remotive,Online Data Analyst Canada (French Language),TELUS Digital,Canada,https://remotive.com/remote-jobs/all-others/online-data-analyst-canada-french-language-2090945
Remotive,Online Data Analyst United States Spanish speakers,TELUS Digital,USA,https://remotive.com/remote-jobs/all-others/online-data-analyst-united-states-spanish-speakers-2090946
Remotive,Online Data Analyst Canada,TELUS Digital,Canada,https://remotive.com/remote-jobs/all-others/online-data-analyst-canada-2090944
